"Date(UTC)","UnixTimeStamp","Value"
"3/31/2023","1680220800","120446003.585174129350128714"
"4/1/2023","1680307200","120445610.130783660338725954"
"4/2/2023","1680393600","120445333.131112512294546520"
"4/3/2023","1680480000","120444187.500367331761224084"
"4/4/2023","1680566400","120442906.750642056110139197"
"4/5/2023","1680652800","120441082.287843819445612118"
"4/6/2023","1680739200","120439846.207956652390302431"
"4/7/2023","1680825600","120439157.015201326735510160"
"4/8/2023","1680912000","120438790.901396557018862871"
"4/9/2023","1680998400","120438460.629313317619234944"
"4/10/2023","1681084800","120437759.819298265562036451"
"4/11/2023","1681171200","120436785.467994084468149257"
"4/12/2023","1681257600","120436186.334987895821429194"
"4/13/2023","1681344000","120434801.779226867458789779"
"4/14/2023","1681430400","120433529.672979255485681436"
"4/15/2023","1681516800","120432805.883451283117244022"
"4/16/2023","1681603200","120431885.774274768702181846"
"4/17/2023","1681689600","120430245.698502922998966670"
"4/18/2023","1681776000","120426822.740945422946125164"
"4/19/2023","1681862400","120421239.172921250480770158"
"4/20/2023","1681948800","120416238.604000588810852637"
"4/21/2023","1682035200","120413946.592196674704045392"
"4/22/2023","1682121600","120411898.450268874082138749"
"4/23/2023","1682208000","120409434.599300479205255703"
"4/24/2023","1682294400","120406698.140738436252544898"
"4/25/2023","1682380800","120404555.025654315816228428"
"4/26/2023","1682467200","120402200.786462589812241332"
"4/27/2023","1682553600","120400226.569201759111679846"
"4/28/2023","1682640000","120398146.037366335216036756"
"4/29/2023","1682726400","120396288.862164510424957114"
"4/30/2023","1682812800","120393641.600059528891874520"
"5/1/2023","1682899200","120388492.039211269554462832"
"5/2/2023","1682985600","120381587.443112959283823309"
"5/3/2023","1683072000","120375624.165677629172952218"
"5/4/2023","1683158400","120369442.268468451892006919"
"5/5/2023","1683244800","120356724.639653041756784309"
"5/6/2023","1683331200","120344335.832664558322686784"
"5/7/2023","1683417600","120334669.172190341812632362"
"5/8/2023","1683504000","120325183.183522340637280641"
"5/9/2023","1683590400","120317462.601957186229022517"
"5/10/2023","1683676800","120309445.296657944273487898"
"5/11/2023","1683763200","120301036.964632354877907224"
"5/12/2023","1683849600","120295963.376749278869722981"
"5/13/2023","1683936000","120293395.150012484869150051"
"5/14/2023","1684022400","120290977.519762886867602255"
"5/15/2023","1684108800","120286803.113402830290719704"
"5/16/2023","1684195200","120282750.082885716661704116"
"5/17/2023","1684281600","120279098.699439933200303950"
"5/18/2023","1684368000","120275441.577492551372138379"
"5/19/2023","1684454400","120272521.328111716646142704"
"5/20/2023","1684540800","120270854.620283621915822661"
"5/21/2023","1684627200","120269178.595380428617105058"
"5/22/2023","1684713600","120266176.293032512273992540"
"5/23/2023","1684800000","120262551.727608650948527406"
"5/24/2023","1684886400","120259894.652173332313949347"
"5/25/2023","1684972800","120257875.020735052211219575"
"5/26/2023","1685059200","120256542.211935568966615382"
"5/27/2023","1685145600","120255813.761496427557342888"
"5/28/2023","1685232000","120254696.876889063679897755"
"5/29/2023","1685318400","120252782.891845435286272419"
"5/30/2023","1685404800","120249839.992100687845100428"
"5/31/2023","1685491200","120247661.542182714643320032"
"6/1/2023","1685577600","120245413.341298992402912854"
"6/2/2023","1685664000","120243229.963167663921727602"
"6/3/2023","1685750400","120243299.645028146814369777"
"6/4/2023","1685836800","120242901.065747812639332733"
"6/5/2023","1685923200","120241106.162204738650664818"
"6/6/2023","1686009600","120240176.827656757512618657"
"6/7/2023","1686096000","120239609.563895939558553215"
"6/8/2023","1686182400","120239028.949950097300044921"
"6/9/2023","1686268800","120238752.573315578179060810"
"6/10/2023","1686355200","120238187.753423843591616443"
"6/11/2023","1686441600","120238311.536730736463438953"
"6/12/2023","1686528000","120238410.109308436629477640"
"6/13/2023","1686614400","120238575.000743694744117568"
"6/14/2023","1686700800","120238174.643165480293891451"
"6/15/2023","1686787200","120238083.534116536537952261"
"6/16/2023","1686873600","120237943.356176130365758620"
"6/17/2023","1686960000","120238074.670731037434912165"
"6/18/2023","1687046400","120238440.874072537051359382"
"6/19/2023","1687132800","120238448.633734037852053246"
"6/20/2023","1687219200","120238445.448565113569646674"
"6/21/2023","1687305600","120238203.248626764190730723"
"6/22/2023","1687392000","120238408.939359206385753959"
